country,iso3,region,year,tempRiseC,annualMeanTempC,seaRiseCm,tempSource,seaSource
South Korea,KOR,Asia,1993,0.5,11.27,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
China,CHN,Asia,2000,0.6,7.23,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
China,CHN,Asia,2010,0.95,7.58,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
China,CHN,Asia,2020,1.27,7.9,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
China,CHN,Asia,2022,1.47,8.1,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
India,IND,Asia,1993,0.45,24.69,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
India,IND,Asia,2000,0.57,24.81,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
India,IND,Asia,2010,1.28,25.52,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
India,IND,Asia,2020,0.66,24.9,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
India,IND,Asia,2022,0.96,25.2,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Indonesia,IDN,Asia,1993,0.27,25.77,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Indonesia,IDN,Asia,2000,0.37,25.87,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Indonesia,IDN,Asia,2010,0.6,26.1,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Indonesia,IDN,Asia,2020,0.7,26.2,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Indonesia,IDN,Asia,2022,0.46,25.96,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Saudi Arabia,SAU,Asia,1993,0.38,25.26,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Saudi Arabia,SAU,Asia,2000,0.87,25.75,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Saudi Arabia,SAU,Asia,2010,2.08,26.96,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Saudi Arabia,SAU,Asia,2020,1.33,26.21,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Saudi Arabia,SAU,Asia,2022,1.58,26.46,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Germany,DEU,Europe,1993,0.51,8.76,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Germany,DEU,Europe,2000,1.84,10.09,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Germany,DEU,Europe,2010,-0.06,8.19,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Germany,DEU,Europe,2020,2.53,10.78,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Germany,DEU,Europe,2022,2.58,10.83,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
France,FRA,Europe,1993,0.51,10.78,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
France,FRA,Europe,2000,1.58,11.85,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
France,FRA,Europe,2010,0.36,10.63,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
France,FRA,Europe,2020,2.46,12.73,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
France,FRA,Europe,2022,2.89,13.16,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United Kingdom,GBR,Europe,1993,0.19,8.49,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United Kingdom,GBR,Europe,2000,0.86,9.16,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United Kingdom,GBR,Europe,2010,-0.13,8.17,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United Kingdom,GBR,Europe,2020,1.38,9.68,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United Kingdom,GBR,Europe,2022,1.81,10.11,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Italy,ITA,Europe,1993,0.63,12.59,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Italy,ITA,Europe,2000,1.38,13.34,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Italy,ITA,Europe,2010,0.79,12.75,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Italy,ITA,Europe,2020,1.87,13.83,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Italy,ITA,Europe,2022,2.42,14.38,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Spain,ESP,Europe,1993,0.41,12.99,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Spain,ESP,Europe,2000,1.33,13.91,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Spain,ESP,Europe,2010,1.12,13.7,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Spain,ESP,Europe,2020,2.14,14.72,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Spain,ESP,Europe,2022,2.72,15.3,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Russia,RUS,Europe,1993,1.02,-4.41,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Russia,RUS,Europe,2000,1.05,-4.38,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Russia,RUS,Europe,2010,1.07,-4.36,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Russia,RUS,Europe,2020,3.69,-1.74,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Russia,RUS,Europe,2022,2.56,-2.87,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United States of America,USA,Americas,1993,0.26,8.72,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United States of America,USA,Americas,2000,0.75,9.21,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United States of America,USA,Americas,2010,0.89,9.35,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United States of America,USA,Americas,2020,1.56,10.02,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
United States of America,USA,Americas,2022,1.27,9.73,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Canada,CAN,Americas,1993,0.79,-4.58,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Canada,CAN,Americas,2000,1.13,-4.24,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Canada,CAN,Americas,2010,2.92,-2.45,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Canada,CAN,Americas,2020,1.12,-4.25,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Canada,CAN,Americas,2022,1.15,-4.22,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Mexico,MEX,Americas,1993,0.71,20.95,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Mexico,MEX,Americas,2000,0.93,21.17,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Mexico,MEX,Americas,2010,0.54,20.78,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Mexico,MEX,Americas,2020,1.84,22.08,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Mexico,MEX,Americas,2022,1.46,21.7,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Brazil,BRA,Americas,1993,0.35,25.01,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Brazil,BRA,Americas,2000,0.43,25.09,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Brazil,BRA,Americas,2010,1.01,25.67,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Brazil,BRA,Americas,2020,1.27,25.93,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Brazil,BRA,Americas,2022,0.88,25.54,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Argentina,ARG,Americas,1993,0.29,14.96,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Argentina,ARG,Americas,2000,-0.22,14.45,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Argentina,ARG,Americas,2010,0.18,14.85,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Argentina,ARG,Americas,2020,0.85,15.52,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Argentina,ARG,Americas,2022,0.4,15.07,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Chile,CHL,Americas,1993,0.19,9.32,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Chile,CHL,Americas,2000,-0.31,8.82,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Chile,CHL,Americas,2010,-0.03,9.1,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Chile,CHL,Americas,2020,0.74,9.87,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Chile,CHL,Americas,2022,0.24,9.37,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Africa,ZAF,Africa,1993,1.34,18.26,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Africa,ZAF,Africa,2000,0.63,17.55,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Africa,ZAF,Africa,2010,1.66,18.58,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Africa,ZAF,Africa,2020,1.55,18.47,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Africa,ZAF,Africa,2022,1.5,18.42,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Egypt,EGY,Africa,1993,0.47,22.71,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Egypt,EGY,Africa,2000,0.12,22.36,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Egypt,EGY,Africa,2010,2.33,24.57,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Egypt,EGY,Africa,2020,0.94,23.18,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Egypt,EGY,Africa,2022,0.99,23.23,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Nigeria,NGA,Africa,1993,0.09,26.96,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Nigeria,NGA,Africa,2000,0.05,26.92,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Nigeria,NGA,Africa,2010,0.99,27.86,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Nigeria,NGA,Africa,2020,0.56,27.43,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Nigeria,NGA,Africa,2022,0.28,27.15,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Kenya,KEN,Africa,1993,0.84,24.58,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Kenya,KEN,Africa,2000,1.17,24.91,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Kenya,KEN,Africa,2010,1.67,25.41,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Kenya,KEN,Africa,2020,1.68,25.42,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Kenya,KEN,Africa,2022,1.48,25.22,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Australia,AUS,Oceania,1993,0.57,21.91,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Australia,AUS,Oceania,2000,0.11,21.45,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Australia,AUS,Oceania,2010,0.14,21.48,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Australia,AUS,Oceania,2020,1.22,22.56,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Australia,AUS,Oceania,2022,0.62,21.96,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
New Zealand,NZL,Oceania,1993,-0.11,9.63,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
New Zealand,NZL,Oceania,2000,0.79,10.53,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
New Zealand,NZL,Oceania,2010,1.04,10.78,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
New Zealand,NZL,Oceania,2020,1.13,10.87,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
New Zealand,NZL,Oceania,2022,1.92,11.66,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
